# Lineuparr v1.26.1062103
# Generated: 2026-04-16 15:05:28
# Lineup: US-CA-UK_CustomProvider-Merged_lineup.json
# Category Detail: normal
# Group Prefix: (auto)
# Match Sensitivity: exact
# Quality Ordering: True
# Rate Limiting: none
# M3U Sources: custom, 3-Crystal, 2-Dino, 1-Mega, 4-Lion (all)
# EPG Sources: EPG (all)
# Channel Profile: DirecTV
#
channel_name,channel_number,channel_group,matched_epg_name,matched_tvg_id,epg_source,confidence_score,has_program_data,match_method,status
Al Jazeera English,100,Merged: News,,,,0,No,,No match
BBC World News,101,Merged: News,[CA] BBC WORLD NEWS,BBCWorldNews.ca,EPG,100,Fallback,exact,Matched (no programs)
BNN,103,Merged: News,,,,0,No,,No match
CBC News Network,104,Merged: News,[CA] CBC NEWS NETWORK,CBCNewsNetwork.ca,EPG,100,Yes,exact,Matched
CNBC,106,Merged: News,[CA] CNBC,CNBC.ca,EPG,100,Fallback,alias,Matched (no programs)
CNN,107,Merged: News,[CA] CNN,CNN.ca,EPG,100,Fallback,alias,Matched (no programs)
CTV News Channel,109,Merged: News,[CA] CTV NEWS CHANNEL,CTVNewsChannel.ca,EPG,100,Yes,exact,Matched
FOX News,110,Merged: News,[CA] FOX NEWS,FoxNewsChannel.ca,EPG,100,Fallback,exact,Matched (no programs)
HLN,111,Merged: News,[CA] HLN,HLN.ca,EPG,100,Fallback,alias,Matched (no programs)
MSNBC,112,Merged: News,[CA] MSNBC,MSNBC.ca,EPG,100,Yes,alias,Matched
The Weather Network,113,Merged: News,[CA] THE WEATHER NETWORK,WeatherNetwork.ca,EPG,100,Fallback,exact,Matched (no programs)
BBC World News,114,Merged: News,[US] BBC WORLD NEWS,BBCWorldNews.us,EPG,100,Yes,exact,Matched
Bloomberg Television,115,Merged: News,[US] BLOOMBERG,Bloomberg.us,EPG,100,Yes,alias,Matched
C-SPAN,116,Merged: News,,,,0,No,,No match
C-SPAN2,117,Merged: News,[US] C-SPAN 2,CSPAN2.us,EPG,100,Yes,alias,Matched
CNBC,119,Merged: News,[US] CNBC,CNBC.us,EPG,100,Yes,alias,Matched
CNN,120,Merged: News,[US] CNN,CNN.us,EPG,100,Yes,alias,Matched
FOX Business Network,121,Merged: News,[US] FOX BUSINESS,FoxBusiness.us,EPG,100,Yes,alias,Matched
FOX News Channel,122,Merged: News,[US] FOX NEWS,FoxNewsChannel.us,EPG,100,Yes,alias,Matched
HLN,123,Merged: News,[US] HLN,HLN.us,EPG,100,Yes,alias,Matched
MSNBC,124,Merged: News,,,,0,No,,No match
NASA,125,Merged: News,,,,0,No,,No match
Newsmax,126,Merged: News,[US] NEWSMAX,NewsmaxTV.us,EPG,100,Yes,alias,Matched
Weather Channel,128,Merged: News,[US] THE WEATHER CHANNEL,TheWeatherChannel.us,EPG,100,Yes,alias,Matched
ABC News Live,130,Merged: News,[US] ABC NEWS LIVE,ABCNewsLive.us,EPG,100,Yes,alias,Matched
ABC Localish,131,Merged: News,,,,0,No,,No match
AccuWeather,132,Merged: News,,,,0,No,,No match
BBC News,133,Merged: News,[US] BBC WORLD NEWS,BBCWorldNews.us,EPG,100,Yes,alias,Matched
Bloomberg TV,134,Merged: News,[US] BLOOMBERG,Bloomberg.us,EPG,100,Yes,alias,Matched
Cheddar News,135,Merged: News,,,,0,No,,No match
CNN En Español,136,Merged: News,,,,0,No,,No match
CNNi,137,Merged: News,[US] CNN INTERNATIONAL,CNNinternational.us,EPG,100,Yes,alias,Matched
